name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
blue-marsh,pennsylvania,300,590,290,5,11,3500,1,1,1,,100,32,45,45,10,,0,1,
blue-mountain,pennsylvania,1082,1540,457,9,29,6400,1,1,1,30,100,100,40,27,22,11,0,1,
boyce-park,pennsylvania,160,1232,1072,5,9,1300,1,0,1,70,100,25,75,25,,,6,0,
camelback,pennsylvania,800,2050,1239,13,33,6000,1,1,1,50,100,139,7,54,24,15,0,1,
crystal-lake,pennsylvania,250,2100,1850,1,25,800,0,0,0,50,100,96,40,20,40,,40,1,
eagle-rock,pennsylvania,550,1810,1300,4,12,3277,1,1,0,20,100,43,60,10,30,,0,1,
elk-mountain,pennsylvania,1000,2693,1693,6,27,9240,1,1,0,60,95,140,25,30,45,,0,0,
hidden-valley,pennsylvania,610,3000,2390,9,25,5800,1,1,1,160,100,100,28,52,20,,50,1,
jack-frost,pennsylvania,600,2000,1400,8,30,2700,1,0,1,50,100,100,20,40,40,,15,1,
liberty,pennsylvania,600,1400,800,8,16,5280,1,1,1,45,100,100,40,35,25,,0,1,
montage,pennsylvania,1000,2000,1000,6,21,6336,1,1,0,60,100,140,35,30,20,15,0,1,
mount-tone,pennsylvania,450,1930,1480,3,10,2640,1,1,0,60,90,60,40,40,20,,7,1,
mountain-view,pennsylvania,320,1550,1230,4,9,2500,1,0,0,120,50,25,20,70,10,,0,1,
mystic-mountain,pennsylvania,300,2030,,2,8,2600,1,0,1,,100,27,40,35,15,10,15,1,
seven-springs,pennsylvania,750,2990,2240,18,31,6600,1,1,1,105,95,275,50,35,12,3,0,1,
shawnee-mountain,pennsylvania,700,1350,650,9,23,5100,1,1,1,50,100,125,25,50,25,,0,1,
ski-big-bear,pennsylvania,650,1250,600,5,18,7000,1,1,0,70,100,26,33,33,27,3,0,1,
ski-denton,pennsylvania,650,2400,1750,5,20,5280,1,1,1,100,95,75,35,35,20,10,160,1,
ski-roundtop,pennsylvania,600,1400,800,9,16,4100,1,1,1,40,100,100,38,32,30,,0,1,
ski-sawmill,pennsylvania,515,2215,1700,3,10,3250,1,1,1,45,100,15,33,34,33,,0,0,
split-rock,pennsylvania,250,2120,1870,2,7,,1,0,0,,100,40,80,20,,,0,0,
spring-mountain,pennsylvania,420,528,108,6,8,2200,1,1,1,,100,45,40,40,20,,0,1,
tanglwood,pennsylvania,415,1750,1335,4,9,5280,1,1,0,45,100,35,30,50,20,,20,1,
the-springs-at-laurel-mountain,pennsylvania,900,2800,1900,4,21,7920,1,1,1,250,60,70,35,35,20,10,30,1,
tussey-mountain,pennsylvania,500,1810,1310,5,7,4100,1,1,0,48,100,72,30,45,25,,0,1,
whitetail,pennsylvania,935,1800,865,8,19,4500,1,1,1,40,100,109,22,53,25,,0,1,
ober-gatlinburg,tennessee,600,3300,2700,5,8,5000,1,0,0,50,100,32,25,50,25,,0,0,
bryce,virginia,500,1750,1250,5,8,3000,1,0,0,30,100,25,34,33,33,,0,0,
massanutten,virginia,1100,2925,1750,7,14,4100,1,1,1,56,100,70,30,35,35,,0,1,
the-homestead,virginia,700,3200,2500,5,9,4200,1,1,1,50,100,45,34,33,33,,2,1,
wintergreen,virginia,1003,3515,2512,5,20,7392,1,1,1,40,100,90,20,42,21,17,0,1,
canaan-valley,west-virginia,850,4280,3430,3,34,6000,1,1,0,160,85,91,30,40,30,,30,1,
snowshoe,west-virginia,1500,4848,3250,14,57,7500,1,1,1,180,100,200,41,36,23,,40,1,
timberline,west-virginia,1000,4268,3268,3,35,10560,1,1,1,150,94,92,34,32,18,16,17,0,
winterplace,west-virginia,603,3600,2997,9,27,6600,1,1,1,100,100,90,41,44,15,,0,1,
mohawk-mountain,connecticut,650,1600,950,5,23,6600,1,1,0,92,98,107,20,60,20,,0,0,
mt-southington,connecticut,425,525,100,7,14,2000,1,1,1,50,100,50,33,34,33,,0,0,
powder-ridge,connecticut,500,750,250,7,17,2600,1,1,1,60,100,75,30,50,20,,0,1,
ski-sundown,connecticut,625,1075,450,4,15,5260,1,0,0,60,100,65,35,45,20,,0,0,
woodbury,connecticut,300,850,550,3,12,2640,1,1,1,64,100,100,33,34,33,,20,1,
big-rock,maine,980,1610,650,3,19,6000,1,0,0,100,25,60,20,60,20,,5,0,
big-squaw-mountain,maine,1750,3200,1750,3,30,12700,1,1,0,136,70,400,33,34,33,,0,0,
black-mountain,maine,1120,2000,880,3,13,4200,1,1,1,120,75,48,,,,,35,1,
camden-snow-bowl,maine,950,1100,150,3,10,5000,1,1,0,50,45,40,10,80,10,,0,1,
eaton-mountain,maine,620,700,,2,19,7920,1,1,1,72,100,130,20,40,40,,0,1,
hermon-mountain,maine,350,350,,2,20,5000,1,1,1,90,100,70,40,30,30,,0,1,
lost-valley,maine,240,240,240,3,16,2500,1,1,0,99,100,45,30,50,20,,15,0,
mt-abram,maine,1030,2000,970,5,38,13200,1,0,0,115,70,170,28,48,24,,5,1,
mt-jefferson,maine,432,,,3,11,3696,1,0,1,75,,12,33,34,33,,0,0,
shawnee-peak,maine,1300,1900,600,5,42,7920,1,1,0,110,99,225,25,50,25,,500,0,
sugarloaf,maine,2820,4237,1417,15,129,15840,1,1,1,240,92,1410,27,29,28,16,100,1,
sunday-river,maine,2340,3140,780,18,128,15840,1,1,1,155,92,663,25,35,23,17,120,1,
titcomb-mountain,maine,350,750,400,2,15,2200,1,1,1,110,75,45,30,40,30,,18,0,
berkshire-east,massachusetts,1180,1840,660,5,45,13200,1,1,1,110,100,400,30,35,35,,0,0,
blandford,massachusetts,465,1685,1220,5,20,2000,1,1,1,50,80,158,40,50,10,,0,0,
blue-hills,massachusetts,309,635,326,5,8,3000,1,1,0,60,90,60,25,50,25,,0,1,
bousquet,massachusetts,750,1875,1125,4,21,5280,1,1,1,83,98,200,34,33,33,,0,1,
butternut,massachusetts,1000,1800,1000,9,22,7890,1,1,0,70,100,110,20,60,20,,8,0,
jiminy-peak,massachusetts,1150,2380,1250,8,40,10560,1,1,1,98,93,156,25,50,25,,0,0,
nashoba-valley,massachusetts,240,440,200,9,17,3000,1,0,0,55,100,59,20,47,33,,0,1,
otis-ridge,massachusetts,400,1700,1300,5,11,5280,1,0,0,70,90,60,30,40,30,,0,0,
ski-bradford,massachusetts,248,1548,1300,8,13,450,1,1,1,,100,48,10,80,10,,0,0,
ski-ward,massachusetts,200,410,210,5,8,2000,1,1,1,65,90,10,40,60,,,0,1,
wachusett-mountain,massachusetts,1000,2006,990,5,20,7050,1,1,1,100,100,105,30,40,30,,11,0,
attitash-bear-peak,new-hampshire,1750,2350,600,12,70,10560,1,1,1,142,97,280,20,47,33,,60,0,
black-mountain,new-hampshire,1100,3303,1250,4,40,8000,1,1,1,120,98,143,33,34,33,,0,0,
bretton-woods,new-hampshire,1500,3100,1600,8,76,10560,1,1,1,200,95,375,29,39,32,,100,1,
cannon-mountain,new-hampshire,2146,4186,2000,8,45,12144,1,1,1,150,97,165,17,47,36,,50,1,
cranmore-mountain,new-hampshire,1200,1700,500,10,39,5280,1,1,0,120,100,192,36,44,20,,0,1,
dartmouth-skiway,new-hampshire,968,1943,975,3,30,6600,1,1,0,100,54,104,25,50,25,,0,0,
gunstock,new-hampshire,1400,2300,900,8,46,13200,1,1,1,100,80,220,8,72,17,3,52,1,
king-pine,new-hampshire,350,850,500,6,17,3960,1,1,1,120,100,45,50,31,19,,20,1,
loon-mountain,new-hampshire,2100,3050,950,10,49,13200,1,1,1,121,99,275,20,64,16,,35,1,
mount-sunapee,new-hampshire,1510,2743,1230,10,62,10560,1,1,1,100,97,220,26,48,26,,0,0,
pats-peak,new-hampshire,710,1400,690,7,21,7920,1,1,0,90,95,73,38,30,18,14,20,1,
ragged-mountain,new-hampshire,1250,2250,1000,9,50,9240,1,1,1,100,98,200,30,40,30,,0,1,
tenney-mountain,new-hampshire,1400,2149,749,4,45,9240,1,1,1,140,83,110,13,56,31,,3,1,
the-balsams,new-hampshire,1006,2760,1754,4,13,8000,1,1,1,225,80,88,25,50,25,,85,0,
waterville-valley,new-hampshire,2020,4004,1984,11,52,15840,1,1,1,148,100,255,20,60,15,5,105,1,
wildcat-mountain,new-hampshire,2112,4062,1950,4,45,14520,1,1,1,250,90,225,25,45,30,,0,1,
campgaw-mountain,new-jersey,270,720,450,6,5,600,1,1,1,45,100,18,50,38,12,,0,1,
hidden-valley,new-jersey,620,1435,815,4,12,3960,1,1,0,70,100,36,10,40,50,,0,0,
mountain-creek,new-jersey,1040,1480,440,11,45,10560,1,1,1,65,100,168,21,42,35,2,0,1,
belleayre-mountain,new-york,1404,3429,2025,8,38,12024,1,1,1,141,96,171,21,62,10,7,9,0,
bobcat,new-york,1050,3345,2295,2,18,7920,1,0,0,100,20,80,20,50,30,,0,0,
brantling,new-york,250,850,600,6,8,1900,1,1,1,100,90,36,30,40,30,,0,1,
bristol-mountain,new-york,1200,2200,1000,5,32,10560,1,1,1,120,93,160,20,50,20,10,0,0,
catamount,new-york,1000,2000,1000,8,28,10560,1,1,1,75,100,110,30,40,30,,0,0,
cockaigne,new-york,430,2022,1592,4,15,3600,1,1,1,300,70,100,25,60,15,,0,0,
cortina-mountain,new-york,725,2650,1925,4,18,5280,1,1,0,100,100,87,45,50,5,,0,1,
dry-hill,new-york,300,950,650,3,7,2200,1,1,0,125,75,42,33,34,33,,0,1,
four-seasons,new-york,100,550,450,2,4,1500,1,1,0,125,50,12,40,40,20,,10,1,
gore-mountain,new-york,2100,3600,1500,11,65,15312,1,1,1,150,95,300,10,60,30,,19,1,
greek-peak,new-york,952,2100,1148,8,29,7920,1,1,1,110,83,257,30,45,25,,20,1,
hickory,new-york,1230,1900,700,4,19,10560,1,0,0,75,,225,30,30,40,,0,0,
holiday-mountain,new-york,400,1300,900,7,15,4100,1,1,1,90,100,60,30,40,30,,0,0,
holiday-valley,new-york,750,2250,1500,12,52,4400,1,1,1,180,95,266,33,33,33,1,15,0,
holimont,new-york,725,2345,1620,8,50,4000,1,1,1,200,100,135,20,30,50,,6,0,
hunt-hollow,new-york,815,,,2,18,3100,1,1,0,90,100,85,30,40,30,,5,0,
hunter-mountain,new-york,1600,3200,1600,14,52,10560,1,1,1,125,100,240,30,30,27,13,0,1,
kissing-bridge,new-york,600,1750,1150,9,38,5900,1,1,1,190,92,700,20,50,30,,0,1,
labrador-mountain,new-york,700,1825,1125,5,22,5200,1,1,1,110,95,250,27,27,46,,0,0,
mccauley-mountain,new-york,633,2260,1627,6,21,4000,1,1,0,225,65,75,33,34,33,,25,1,
mt-peter,new-york,450,1250,750,3,9,3960,1,1,0,50,100,60,33,34,33,,0,0,
mt-pisgah,new-york,400,2500,2100,2,6,1800,1,1,1,60,80,15,,80,20,,0,1,
oak-mountain,new-york,650,2400,1750,3,13,7920,1,0,0,120,,,40,40,20,,20,0,
peek-n-peak,new-york,400,1800,1400,9,27,4100,1,1,1,130,85,85,20,70,10,,13,1,
plattekill-mountain,new-york,1100,3500,2500,4,32,11880,1,1,,245,85,75,20,40,20,20,21,1,
rocking-horse-ranch,new-york,150,1180,1030,2,1,1000,0,0,0,30,100,10,100,,,,0,1,
royal-mountain,new-york,550,1800,1250,3,14,3400,1,1,0,90,80,30,33,34,33,,0,0,
sawkill,new-york,70,,,1,3,1000,1,1,1,25,70,4,60,30,10,,2,1,
ski-tamarack,new-york,500,1500,1000,3,15,3300,1,1,1,180,60,100,13,47,40,,0,0,
snow-ridge,new-york,500,2000,1350,7,22,4000,1,1,1,230,50,130,20,55,20,5,10,0,
song-mountain,new-york,700,1940,1240,5,24,5000,1,1,0,125,75,100,58,29,13,,0,0,
sterling-forest,new-york,450,1400,950,4,8,3000,1,1,0,36,100,35,20,70,10,,0,0,
swain,new-york,650,1970,1320,5,21,5280,1,1,1,130,97,100,39,28,33,,0,1,
thunder-ridge,new-york,600,1270,770,4,33,5280,1,1,0,60,100,100,40,40,20,,0,0,
titus-mountain,new-york,1200,1350,,8,26,9240,1,1,1,,100,80,35,36,29,,0,1,
toggenburg,new-york,700,2200,1550,6,24,5280,1,1,1,160,90,83,25,50,25,,10,1,
villa-roma,new-york,250,,,3,5,2640,1,0,0,50,100,,50,25,25,,10,1,
west-mountain,new-york,1010,1470,460,8,22,7920,1,1,0,80,70,124,36,55,9,,0,1,
whiteface-mountain,new-york,3430,4650,1220,10,73,18480,1,1,1,168,95,220,20,37,43,,300,1,
willard-mountain,new-york,505,1415,910,4,14,5000,1,1,0,80,65,85,30,40,30,,0,1,
windham-mountain,new-york,1600,3100,1500,7,39,11880,1,1,0,110,97,242,30,45,25,,10,1,
woods-valley,new-york,500,1400,900,3,11,4000,1,1,0,180,85,25,20,60,20,,0,0,
ascutney-mountain,vermont,1800,2520,720,6,56,13000,1,1,1,175,95,150,30,40,30,,32,1,
bolton-valley,vermont,1625,3150,1525,6,58,10560,1,1,1,300,60,168,27,48,22,3,50,0,
bromley-mountain,vermont,1334,3284,1950,10,43,13200,1,1,1,155,84,163,33,37,30,,0,0,
burke-mountain,vermont,2000,3267,1267,4,43,13500,1,1,1,250,75,180,25,45,30,,80,0,
cochran,vermont,500,1000,500,4,8,2600,1,0,0,88,20,30,22,56,22,,0,0,
jay-peak,vermont,2153,3968,1815,7,75,15840,1,1,1,351,80,385,20,40,40,,20,0,
killington,vermont,3050,4241,1165,31,200,32767,1,1,1,250,70,1182,30,39,31,,50,1,
mad-river-glen,vermont,2037,3637,1600,5,45,15840,0,0,0,250,15,115,30,30,40,,12,0,
magic-mountain,vermont,1700,3000,1300,4,33,8575,1,0,1,180,87,135,25,25,50,,0,1,
maple-valley,vermont,1017,1312,295,3,19,5280,1,0,0,50,95,70,30,40,30,,0,0,
middlebury-college,vermont,1050,2650,1600,3,15,7920,1,1,0,130,35,110,30,30,40,,40,0,
mount-snow,vermont,1700,3600,1900,23,145,13200,1,1,1,163,75,757,22,49,26,3,0,1,
okemo,vermont,2200,3344,1144,18,113,23760,1,1,1,200,95,600,33,42,22,7,26,0,
smugglers-notch,vermont,2610,3640,1030,8,72,18480,1,1,1,284,62,1000,22,53,19,6,27,1,
stowe,vermont,2360,4395,1280,12,48,19700,1,1,1,260,73,480,16,59,25,,80,0,
stratton,vermont,2003,3875,1872,16,90,15840,1,1,1,180,90,583,42,31,27,,35,1,
sugarbush,vermont,2650,4135,1485,17,115,15840,1,1,1,262,68,286,18,39,43,,60,0,
suicide-six,vermont,650,1200,550,3,23,5280,1,0,1,80,50,100,30,40,30,,60,0,
banff-mount-norquay,alberta,1650,7000,5350,5,31,3828,1,1,1,120,90,190,20,36,28,16,0,0,
canada-olympic-park,alberta,394,4101,3707,5,3,2096,1,1,1,45,99,90,25,75,,,2,0,
canyon,alberta,480,2950,2470,5,11,4235,1,1,1,45,95,70,30,40,30,,0,0,
castle-mountain,alberta,2833,7457,4626,5,59,7920,1,1,0,234,,1400,19,41,40,,50,0,
edmonton,alberta,200,,,4,6,600,1,1,0,36,100,25,17,66,17,,60,0,
fortress,alberta,1082,7775,6692,6,47,6500,1,1,1,252,60,328,20,55,25,,0,0,
hidden-valley,alberta,656,4594,4047,4,9,6600,1,1,0,84,95,22,40,40,20,,0,0,
jaspers-marmot-basin,alberta,2944,8534,5590,8,75,18480,1,1,0,170,1,1500,30,30,20,20,300,0,
kinosoo-ridge,alberta,600,3000,2400,3,10,4500,1,1,1,,60,60,30,40,30,,0,1,
lake-louise,alberta,3250,8650,5400,10,113,26400,1,1,1,144,40,4200,25,45,30,,80,0,
nakiska,alberta,2412,7415,5003,5,28,10486,1,1,1,98,85,325,16,70,14,,40,0,
nitehawk,alberta,580,2320,1740,2,9,2050,1,1,0,,99,250,20,50,30,,0,0,
rabbit-hill,alberta,300,,,7,11,,1,1,1,,,40,60,30,10,,0,0,
silver-summit,alberta,976,4750,3774,3,13,7920,1,0,0,120,,640,35,35,30,,25,0,
snow-valley,alberta,130,,,3,8,1800,1,1,1,48,100,20,40,45,15,,0,0,
sunridge,alberta,140,8,,4,11,600,1,1,1,45,100,72,20,35,45,,0,0,
wintergreen,alberta,600,5000,4400,4,11,3000,1,1,1,120,80,80,45,40,15,,8,1,
apex,british-columbia,2000,7187,5187,5,61,15850,1,1,1,228,30,1112,16,48,18,18,56,1,
big-white,british-columbia,2550,7606,4950,13,112,23760,1,1,1,294,,7155,18,56,26,,25,1,
crystal,british-columbia,650,5001,3940,3,21,5280,1,1,1,122,,470,30,50,20,,0,0,
cypress-mountain,british-columbia,1750,4750,3000,5,34,13200,1,1,1,244,,1482,23,37,40,,19,1,
fairmont-hot-springs,british-columbia,1000,5200,4200,2,13,6000,1,1,1,90,70,60,20,60,20,,12,0,
fernie,british-columbia,2816,6316,3500,10,107,16370,1,1,1,348,1,2504,30,40,30,,14,0,
grouse-mountain,british-columbia,1260,4100,900,10,24,5280,1,1,0,120,75,212,40,40,20,,5,0,
harper-mountain,british-columbia,1394,4986,3599,3,15,1200,1,0,1,59,2,400,25,50,25,,8,1,
hemlock-valley,british-columbia,1200,4500,3300,4,34,7460,1,1,1,180,,300,20,60,20,,13,1,
kicking-horse,british-columbia,4133,8033,3900,5,97,32767,1,0,0,300,,2750,20,20,45,15,17,0,
kimberley,british-columbia,2465,6500,4035,9,67,21120,1,1,1,156,10,1800,20,45,35,,33,0,
manning-park,british-columbia,1401,5868,4451,4,25,6375,1,1,0,215,,183,30,40,30,,30,0,
mount-seymour,british-columbia,1115,4134,3051,5,24,7920,1,1,1,175,,600,40,40,20,,0,1,
mt-baldy,british-columbia,1460,7575,5650,2,17,5200,1,1,1,130,,225,33,46,21,,40,0,
mt-cain,british-columbia,1500,5800,4000,3,18,,1,0,0,120,,,20,45,35,,0,0,
mt-washington,british-columbia,1657,5215,3558,8,50,13200,1,1,1,348,,1000,25,40,20,15,40,1,
murray-ridge,british-columbia,1739,4038,2299,,23,,1,1,1,118,,,27,33,40,,20,0,
panorama,british-columbia,4000,7800,3800,10,100,15333,1,1,1,187,40,2847,15,55,30,,18,0,
phoenix,british-columbia,800,4800,4000,2,11,5000,1,1,0,350,,150,20,50,30,,10,0,
powder-king,british-columbia,2017,5015,2998,2,21,2800,1,1,1,495,,140,25,45,30,,0,0,
powder-springs,british-columbia,1000,3800,2500,2,12,3500,1,1,1,260,,45,30,30,30,10,0,0,
purden,british-columbia,1200,,,3,25,10500,1,0,0,160,,,20,55,,25,0,0,
red-mountain,british-columbia,2900,6800,3888,5,83,23760,1,0,0,300,,1200,10,45,45,,50,0,
salmo,british-columbia,997,3097,2099,2,4,,1,1,1,120,,,30,30,40,,0,0,
shames-mountain,british-columbia,1600,3900,2300,3,20,8448,1,0,0,475,,133,21,60,19,,0,0,
silver-star,british-columbia,2500,6280,3780,11,107,26400,1,1,1,276,,2725,20,50,20,10,95,1,
ski-smithers,british-columbia,1750,5500,3700,4,35,10560,1,1,1,200,,292,25,55,20,,18,0,
summit-lake,british-columbia,500,,,1,8,500,1,1,0,150,,30,50,40,10,,1,0,
sun-peaks,british-columbia,2891,6824,3933,10,114,26400,1,1,1,208,8,3400,22,56,,22,40,0,
tabor-mountain,british-columbia,808,2608,1800,3,10,10800,1,0,0,66,100,180,25,50,25,,20,0,
whistler-blackcomb,british-columbia,5354,7494,2140,33,200,32767,1,1,1,360,10,7071,10,50,30,10,28,0,
whitewater,british-columbia,1300,6700,5400,3,46,5280,1,0,0,480,,600,20,40,40,,22,0,
asessippi-winter-park,manitoba,498,1810,1312,7,21,2300,1,1,1,100,100,200,34,33,33,,8,1,
falcon-ridge,manitoba,150,1210,1060,3,13,1200,1,1,0,50,,25,60,40,,,20,1,
holiday-mountain,manitoba,300,1550,1250,5,11,2600,1,1,0,50,100,37,50,30,10,10,0,0,
mystery-mountain,manitoba,250,,,4,18,2100,1,1,1,75,80,30,17,50,33,,23,1,
stony-mountain,manitoba,100,,,2,6,,1,1,1,,,,,,,,0,0,
crabbe-mountain,new-brunswick,853,1325,475,4,18,6600,1,1,1,120,53,87,18,35,47,,15,0,
mont-farlagne,new-brunswick,600,1060,460,3,17,5400,1,1,1,250,60,,18,47,35,,0,1,
poley-mountain,new-brunswick,660,250,910,4,14,5200,1,1,1,92,80,85,62,15,23,,0,1,
sugarloaf-provincial-park,new-brunswick,507,645,1417,4,9,3511,1,1,1,144,,25,25,50,25,,22,1,
marble-mountain,newfoundland,1600,1633,33,7,27,11785,1,1,1,200,80,150,15,45,30,10,50,1,
mont-shana,newfoundland,169,,,2,7,1500,1,0,0,120,,40,,85,15,,0,0,
northern-lights,newfoundland,400,1000,600,1,4,1500,1,0,0,60,,20,100,,,,9,0,
smokey-mountain,newfoundland,1000,,,4,18,4200,1,1,0,120,,80,33,34,33,,12,0,
white-hills,newfoundland,750,1200,450,3,9,1500,1,1,1,100,80,75,40,50,10,,60,1,
cape-smokey,nova-scotia,1000,1050,50,2,16,8000,1,1,0,150,60,,20,60,20,,0,0,
ski-ben-eoin,nova-scotia,502,504,2,3,11,4100,1,1,1,102,100,33,30,40,30,,0,0,
ski-martock,nova-scotia,600,695,95,5,7,5280,1,1,1,100,100,60,20,70,10,,4,0,
ski-wentworth,nova-scotia,815,990,175,6,19,9240,1,1,1,150,70,150,30,50,20,,15,1,
alice-hill-park,ontario,210,,,2,13,5280,1,0,0,78,,,10,45,45,,0,0,
batawa,ontario,570,,,3,7,2500,1,1,0,30,75,10,25,50,25,,0,0,
beaver-valley,ontario,505,1345,840,6,25,3960,1,1,0,,,110,20,50,20,10,9,0,
blue-mountain,ontario,720,1482,740,13,37,4000,1,1,1,110,100,251,17,42,41,,0,0,
boler-mountain,ontario,115,,,5,9,,1,1,0,,100,50,30,40,30,,0,1,
calabogie-peaks,ontario,760,1265,505,3,18,3000,1,1,0,80,95,70,35,23,42,,0,0,
chicopee,ontario,200,,,6,12,2000,1,1,0,59,100,32,33,34,33,,0,0,
cobble-hills,ontario,150,,,4,9,1100,1,1,1,80,100,,17,33,50,,0,0,
devils-elbow,ontario,350,,,6,11,2500,1,1,0,,100,,18,73,9,,8,0,
glen-eden,ontario,245,,,5,12,1800,1,1,1,,100,45,26,54,20,,0,0,
heyden,ontario,200,1200,1000,1,5,2000,1,1,1,113,,20,25,50,25,,0,0,
hidden-valley-highlands,ontario,327,1276,949,4,11,1902,1,1,0,135,90,35,42,51,7,,0,0,
hockley-valley,ontario,375,,,5,12,1900,1,1,1,100,100,30,20,30,40,10,12,0,
horseshoe,ontario,308,1332,1024,8,24,2200,1,1,1,120,100,61,25,42,33,,35,1,
kamiskotia,ontario,400,1302,905,4,12,3500,1,1,0,142,75,68,20,45,35,,6,1,
kingston,ontario,125,,,4,2,250,1,0,0,,,10,,,,,0,0,
loch-lomond,ontario,750,1450,700,3,14,7920,1,1,1,80,85,90,30,35,35,,0,1,
mount-baldy,ontario,2100,,,4,26,5280,1,1,1,72,75,800,30,40,30,,2,0,
mount-dufour,ontario,320,,,2,6,3000,1,0,0,120,80,20,50,30,20,,0,0,
mount-pakenham,ontario,280,730,450,7,12,3300,1,1,0,60,100,55,50,25,25,,30,0,
mountain-view,ontario,150,,,2,6,,1,1,0,,,,25,50,25,,25,0,
mt-chinguacousy,ontario,10,,,1,1,68,1,0,0,12,100,2,100,,,,0,1,
north-york,ontario,140,,,2,4,1000,1,1,0,100,100,6,25,75,,,0,0,
onaping,ontario,300,,,3,12,2640,1,0,0,50,,30,40,30,30,,0,0,
oshawa,ontario,300,1175,875,11,20,2500,1,1,1,,100,40,35,39,26,,0,0,
pine-ridge,ontario,320,1420,1100,3,7,800,1,0,0,,50,50,17,50,33,,18,0,
radcliffe-hills,ontario,450,1350,900,3,7,5280,1,1,1,71,40,45,35,35,30,,0,0,
rene-burnelle,ontario,120,,,2,2,1000,1,0,0,80,,22,,100,,,11,0,
searchmont,ontario,700,1600,900,4,18,6600,1,1,1,130,90,70,20,60,20,,50,1,
sir-sams,ontario,330,1450,1120,6,12,3500,1,1,0,99,100,40,15,45,40,,45,0,
ski-dagmar,ontario,200,2300,2100,8,15,2600,1,1,1,40,100,30,40,50,10,,25,0,
ski-lakeridge,ontario,300,,,4,18,3000,1,1,1,60,100,70,35,30,25,10,0,0,
ski-mansfield,ontario,,,,7,13,,1,1,0,,,,,,,,0,0,
skyloft,ontario,,,,3,16,,1,0,0,,,,40,40,20,,20,0,
snow-valley-barrie,ontario,265,,,11,18,3300,1,1,1,,100,,33,34,33,,0,1,
st-louis--moonstone,ontario,,,,,,,,,,,,,,,,,,,
talisman-mountain,ontario,600,1375,775,8,18,4000,1,1,1,40,100,220,25,40,35,,10,1,
tri,ontario,320,,,2,13,2640,1,0,0,,,,38,38,24,,40,0,
brookvale-provincial-park,prince-edward-island,250,370,120,4,10,2500,1,1,1,100,100,40,20,50,30,,32,0,
belle-neige,quebec,507,1000,493,3,14,1320,1,1,0,,85,,29,28,28,15,0,0,
camp-fortune,quebec,650,627,565,8,17,,1,1,1,60,100,95,30,35,23,12,0,0,
edelweiss-valley,quebec,656,1148,492,4,18,4921,1,1,1,120,100,150,33,48,17,2,0,0,
gray-rocks,quebec,620,1445,830,4,22,5280,1,0,0,170,95,200,18,45,37,,60,0,
la-vallee-du-parc,quebec,550,1465,1100,5,15,3000,1,1,1,150,80,60,20,67,13,,30,0,
le-massif,quebec,2526,2625,118,5,36,12460,1,0,0,300,70,240,20,31,30,19,0,0,
le-relais,quebec,750,1350,600,6,25,1400,1,1,1,,,173,16,28,44,12,0,0,
massif-du-sud,quebec,1312,3002,,2,23,11385,1,1,1,90,80,,20,15,45,20,56,0,
mont,quebec,2050,2625,575,13,56,19008,1,1,1,160,80,428,23,46,18,13,224,0,
mont-alta,quebec,600,2000,1400,1,22,5300,1,1,1,72,75,65,30,30,15,25,0,0,
mont-avila,quebec,615,1365,615,3,11,3445,1,1,0,80,100,35,18,27,49,6,40,1,
mont-blanc,quebec,983,,,7,36,5280,1,1,1,140,85,150,20,34,34,12,5,0,
mont-cascades,quebec,525,,,6,16,2248,1,0,0,,,,5,70,25,,0,0,
mont-fortin,quebec,312,400,88,4,9,1312,1,0,1,144,99,72,23,33,44,,0,0,
mont-gabriel,quebec,656,1420,656,7,38,3609,1,1,1,80,75,80,15,40,15,30,40,0,
mont-garceau,quebec,1000,2400,1400,5,16,1900,1,1,1,120,90,200,33,34,33,,25,0,
mont-grand-fonds,quebec,1095,2405,1308,3,13,8175,1,1,1,260,50,100,23,38,23,16,160,0,
mont-habitant,quebec,550,1250,700,3,11,3000,1,1,1,130,100,55,30,40,30,,0,0,
mont-olympia,quebec,656,2040,656,6,23,4511,1,1,0,80,43,140,52,22,13,13,40,0,
mont-orford,quebec,1772,2800,1028,10,52,13200,1,1,1,140,85,186,38,32,25,5,50,0,
mont-orignal,quebec,765,970,205,4,21,5900,1,1,1,,,,27,20,46,7,40,0,
mont-saint,quebec,700,2065,1365,8,38,4921,1,1,1,,100,142,24,24,39,13,40,1,
mont-ste-marie,quebec,1250,2250,1000,3,24,10000,1,1,1,120,90,115,18,25,37,20,0,0,
mont-sutton,quebec,1500,3175,1675,9,53,9398,1,0,0,185,60,174,17,45,21,17,35,0,
mont-ti-basse,quebec,425,518,93,3,7,,1,1,1,120,80,15,37,25,16,22,0,0,
mont-video,quebec,350,1550,1200,4,14,3200,1,1,0,90,80,,20,46,34,,0,0,
montjoye,quebec,750,1250,500,2,18,2500,1,1,1,,90,,56,22,22,,0,0,
owls-head,quebec,1772,2450,510,8,43,13200,1,1,1,180,85,60,33,34,33,,0,1,
parc-du-mont,quebec,1000,1881,881,4,22,4500,1,1,1,180,50,150,20,30,30,20,25,0,
ski-bromont,quebec,1379,1879,500,4,45,7152,1,1,1,190,80,160,31,22,25,22,0,0,
