name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
sunrise-park,arizona,1800,11000,9200,10,65,14520,1,1,1,250,10,800,40,40,20,,16,0,
williams,arizona,600,8150,7500,2,7,3960,1,0,0,150,,30,30,50,20,,0,1,
arapahoe-basin,colorado,2270,13050,10780,5,66,7920,1,1,0,367,,490,15,45,20,20,0,0,
aspen-highlands,colorado,3635,11675,8040,4,76,15680,1,1,1,300,12,673,18,30,16,36,65,1,
beaver-creek,colorado,4040,11440,7400,14,146,14520,1,1,0,310,37,1625,34,39,27,,32,0,
breckenridge,colorado,3398,12998,9600,27,146,18480,1,1,0,300,23,2208,13,32,55,,23,0,
buttermilk-mountain,colorado,2030,9900,7870,7,41,15840,1,1,1,200,26,420,35,39,26,,0,0,
copper-mountain,colorado,2601,12313,9712,22,125,14784,1,1,1,280,16,2433,21,25,36,18,0,1,
crested-butte,colorado,3062,12162,9375,14,85,13728,1,1,1,298,57,1058,10,25,8,57,70,0,
durango-mountain,colorado,2029,10882,8793,11,85,10560,1,1,1,260,15,1200,23,51,26,,16,1,
eldora,colorado,1400,10800,9300,12,53,10560,1,1,0,300,85,680,20,50,30,,45,0,
hesperus,colorado,700,8880,8100,2,13,5500,1,1,1,150,,80,30,20,30,20,0,1,
howelsen-hill,colorado,440,7136,6696,3,15,5280,1,1,1,250,30,150,20,30,50,,10,0,
kendall-mountain,colorado,,,,1,11,,1,,,,,35,,,,,0,0,
keystone,colorado,2900,12200,9300,21,116,15840,1,1,1,230,49,1861,12,29,5,54,18,0,
loveland,colorado,2410,13010,10600,11,70,10560,1,1,0,400,12,1365,17,42,41,,8,0,
monarch,colorado,1171,11961,10790,5,54,5280,1,1,0,350,,670,21,37,42,,0,0,
powderhorn,colorado,1650,9850,8200,4,29,11600,1,1,0,250,15,510,20,50,15,15,14,0,
silverton-mountain,colorado,2900,13300,10400,1,,3000,1,0,0,400,,1600,,,50,50,0,0,
ski-cooper,colorado,1200,11700,10500,5,26,7400,1,0,0,250,,400,30,40,30,,25,0,
snowmass,colorado,4406,12510,8104,20,84,26400,1,1,1,300,4,3010,7,55,18,20,65,1,
solvista,colorado,1000,9202,8202,5,33,7920,1,1,1,220,60,406,30,50,20,,40,0,
steamboat,colorado,3668,10568,6900,25,142,15840,1,1,1,337,15,2939,13,56,31,,30,1,
sunlight-mountain,colorado,2010,9895,7885,4,67,13200,1,1,1,250,12,470,20,55,20,5,29,0,
telluride,colorado,3535,12260,8725,16,84,24288,1,1,1,309,15,1700,24,38,38,,30,1,
vail,colorado,3450,11570,8120,33,193,15840,1,1,0,346,7,5289,28,32,40,,16,1,
winter-park,colorado,3060,12060,9000,22,134,2695,1,1,1,370,10,2886,9,34,54,3,0,1,
wolf-creek,colorado,1604,11904,10300,6,77,10560,1,0,0,465,,1600,20,35,25,20,6,0,
bald-mountain,idaho,975,7770,,2,,7920,1,0,0,230,,195,30,35,35,,0,0,
bogus-basin,idaho,1800,7600,5800,8,51,7920,1,1,1,250,15,2600,22,45,33,,0,0,
brundage,idaho,1800,7640,5840,5,38,13560,1,1,0,300,,1340,25,50,25,,0,0,
cottonwood-butte,idaho,845,5565,4280,2,7,4000,1,0,0,45,,260,28,29,43,,0,0,
kelly-canyon,idaho,1000,6600,5600,6,26,6900,1,1,1,200,,640,35,45,20,,0,0,
little-ski-hill,idaho,405,5700,,1,25,2540,1,1,0,180,,40,35,45,20,,1,0,
lookout-pass,idaho,850,5650,4800,2,14,5280,1,1,0,400,,150,25,50,25,,25,0,
magic-mountain,idaho,1700,3200,1500,4,33,8575,1,1,0,180,87,120,25,25,20,30,32,1,
pebble-creek,idaho,2200,8500,6300,3,54,6000,1,0,1,250,15,1100,12,35,,53,0,0,
pomerelle,idaho,1000,9000,8000,3,24,8000,1,1,1,500,,500,35,40,25,,9,0,
schweitzer,idaho,2400,6400,4000,8,59,14256,1,1,1,300,,2500,20,40,35,5,30,0,
silver-mountain,idaho,2200,6300,4100,6,53,2200,1,1,1,300,15,1500,20,40,30,10,0,0,
snowhaven,idaho,400,5600,5200,2,9,2500,1,0,1,60,,40,75,25,,,16,0,
soldier-mountain,idaho,1410,7150,5740,4,37,6600,1,1,1,195,35,1147,25,60,15,,0,0,
sun-valley,idaho,3400,9150,5750,19,75,15840,1,0,0,220,31,2054,36,42,22,,40,0,
bear-paw-ski-bowl,montana,900,5280,4200,1,11,3485,1,0,1,140,,80,25,25,50,,200,0,
big-mountain,montana,2500,7000,4500,11,91,12000,1,1,0,335,5,3000,25,50,10,15,16,1,
big-sky,montana,4350,11150,7500,17,150,31680,1,1,1,400,10,3600,17,25,37,21,75,0,
blacktail-mountain,montana,1440,6676,5236,4,24,6200,1,1,0,250,,200,15,70,15,,0,0,
bridger-bowl,montana,2600,8700,6100,7,69,15840,1,0,0,350,1,1500,25,35,30,10,30,0,
discovery-basin,montana,1300,8150,6850,6,40,10560,1,0,1,200,12,380,33,33,9,25,5,0,
lost-trail,montana,1800,7800,6600,6,30,6500,1,0,0,300,,900,20,60,20,,35,0,
marshall-mountain,montana,1500,5400,3900,3,24,11300,1,1,1,150,30,400,30,45,25,,0,0,
maverick-mountain,montana,2020,8820,6800,2,18,13200,1,0,1,200,,170,20,35,35,10,0,0,
montana-snowbowl,montana,2600,7600,5000,4,32,15840,1,1,0,300,10,1200,10,40,40,10,0,0,
red-lodge-mountain,montana,2400,9416,7016,8,69,13200,1,1,0,250,40,1600,25,40,25,10,50,0,
showdown,montana,1400,8200,6800,4,34,9240,1,1,0,240,,640,30,40,30,,50,0,
teton-pass,montana,1010,8488,6190,2,25,5000,1,0,0,300,,50,45,35,20,,0,0,
turner-mountain,montana,2110,5952,3842,1,26,10560,1,0,0,375,,1000,10,30,30,30,25,0,
angel-fire,new-mexico,2077,10677,8600,5,67,16900,1,1,1,210,52,445,31,48,21,,22,1,
pajarito-mountain,new-mexico,1410,10411,9031,6,37,6340,1,1,0,150,,280,20,50,30,,0,0,
red-river,new-mexico,1600,10350,8750,7,57,13200,1,1,0,218,87,290,32,38,30,,0,0,
sandia-peak,new-mexico,1700,10378,8678,7,30,13200,1,1,0,125,15,200,35,55,10,,47,0,
sipapu,new-mexico,865,9065,8200,3,19,6900,1,0,1,110,70,40,20,50,30,,3,0,
ski-apache,new-mexico,1900,11500,9600,11,55,12145,1,0,0,185,33,750,20,35,45,,0,1,
ski-santa-fe,new-mexico,1703,12053,10353,5,44,15840,1,1,1,225,45,660,20,40,40,,0,0,
taos,new-mexico,2612,11819,9207,12,110,27456,0,1,0,305,40,1200,24,25,51,,0,1,
alta,utah,2020,10550,8530,12,50,16800,0,0,0,500,2,2200,25,40,35,,5,1,
beaver-mountain,utah,1600,8800,7200,3,23,10560,1,1,1,400,,525,26,18,56,,0,1,
brian-head,utah,1707,11307,9600,8,50,7920,1,1,0,425,35,500,30,40,30,,42,1,
brighton,utah,1745,10500,8755,8,66,15840,1,1,1,500,20,850,21,40,39,,0,0,
deer-valley,utah,3000,9570,6570,19,88,10560,0,0,0,300,29,1750,15,50,35,,0,0,
elk-meadows,utah,1300,10400,9100,5,36,10560,1,1,1,400,,400,15,60,25,,20,0,
nordic-valley,utah,1000,6500,5500,2,16,1600,1,1,0,350,60,100,20,50,30,,3,1,
park-city,utah,3100,10000,6900,14,100,18480,1,1,1,350,15,3300,18,44,38,,0,0,
powder-mountain,utah,1300,8900,7600,7,85,15840,1,1,1,500,,2800,10,60,30,,10,0,
snowbasin,utah,2940,9250,5850,9,63,15840,1,0,0,400,34,3200,11,49,40,,50,0,
snowbird,utah,3000,11000,8000,13,89,18500,1,1,1,500,15,2500,27,38,35,,2,1,
solitude,utah,2047,10035,7988,8,64,15840,1,0,0,500,20,1300,20,50,30,,21,0,
sundance,utah,2150,8250,6100,4,48,13200,1,0,0,500,100,450,20,40,40,,15,0,
the-canyons,utah,3190,9990,6800,16,147,13200,1,1,1,355,4,3500,14,44,26,16,0,1,
antelope-butte,wyoming,1000,9400,8400,3,23,7920,1,0,0,200,,250,20,50,30,,5,0,
big-horn,wyoming,1100,9400,8300,3,14,7650,1,1,1,160,55,160,30,40,30,,15,0,
grand-targhee,wyoming,2395,10000,7605,5,82,14675,1,0,0,500,5,2000,10,70,20,,15,1,
hogadon,wyoming,600,8000,7400,3,18,3960,1,0,0,140,50,90,20,40,40,,25,0,
jackson-hole,wyoming,4139,10450,6311,11,100,32767,1,1,1,403,10,2500,10,40,45,5,17,0,
sleeping-giant,wyoming,500,7200,6700,2,17,4000,1,0,0,300,,120,20,60,20,,35,0,
snow-king,wyoming,1571,7808,6237,4,31,4752,1,1,1,150,50,400,15,25,60,,0,1,
snowy-range,wyoming,990,9990,9000,5,27,9804,1,1,1,250,75,250,30,40,30,,0,0,
white-pine,wyoming,1100,9500,8400,3,25,1600,1,,,250,,370,20,60,20,,8,0,
chestnut-mountain,illinois,475,1040,565,8,17,3500,1,1,1,48,100,146,30,40,30,,0,0,
four-lakes-village,illinois,100,,,7,4,1056,1,1,0,24,100,9,40,30,30,,0,0,
raging-buffalo,illinois,200,,,3,5,700,1,1,1,40,100,,,,,,0,0,
ski-snowstar,illinois,228,790,528,4,14,2000,1,1,0,37,100,25,10,50,30,10,0,1,
villa-olivia,illinois,180,,,10,12,1300,1,1,0,25,100,15,40,50,10,,5,0,
paoli-peaks,indiana,300,900,600,9,15,5300,1,1,1,18,100,70,25,65,10,,0,0,
perfect-north,indiana,400,800,400,9,18,2640,1,0,0,35,100,75,25,50,25,,0,1,
